,District,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Dem,Rep,Total,Margin,Incumbency,pres_16,pres_20,State,Shift,rep_raise,rep_spend,dem_raise,dem_spend,dem_supported,dem_opposed,gop_supported,gop_opposed,dem_total_spent,gop_total_spent,spending_delta,Uncontested,WAR,WAR_raw,Democrat,Republican
28,CA-08,4.804005435103171,5.02352231053768,4.227780944161783,4.546666245906557,2.1963725670653225,1.3564590208604257,145501.0,46634.0,192135.0,-51.46,-1.0,-0.590285110876452,-0.5515224715529845,CA,0.076,52712.0,52244.0,1144310.0,1102004.0,116,301,0,0,1102120.0,52545.0,-4.152274099514594,False,D +2.1,-0.021034394314268068,John Garamendi,Rudy Recile
29,CA-09,5.07198594452122,5.27050850558611,3.3200271207068894,4.3504535923558345,2.263984424907266,1.1764412541414717,95598.0,78802.0,174400.0,-9.63,-1.0,-0.13862433862433854,-0.12889480883121718,CA,0.076,1610509.0,1560611.0,6441732.0,8575504.0,63491,0,0,83964,8722959.0,1560611.0,-2.475144660578408,False,D +1.4,-0.01422590329724921,Josh Harder,Tom Patti
30,CA-10,5.7083785327167735,4.141844428097981,2.7668993761089777,4.6739384619076,1.7147583625317417,0.9303676054393877,198415.0,0.0,251380.0,-78.93,-1.0,-0.38510638297872346,-0.40210285737097917,CA,0.076,0.0,0.0,613923.0,508149.0,0,0,0,0,508149.0,0.0,-5.695295116835356,True,,,Mark DeSaulnier,None
31,CA-11,5.512208975337466,3.8269580026186794,2.920317043955955,5.138364341900697,1.55316436804289,0.7596568908374284,220848.0,42217.0,263065.0,-67.9,-1.0,-0.8124341412012646,-0.7605730495718968,CA,0.076,974910.0,913413.0,24445334.0,27307174.0,7741,52501,0,0,27314915.0,965914.0,-4.807319178398621,False,R +1.5,0.01463010532566511,Nancy Pelosi,John Dennis
32,CA-12,5.1774225870183015,4.470938771277436,4.248289348500645,4.677602897248231,2.0234209445099918,0.9448596524985543,217110.0,22859.0,239969.0,-80.95,-1.0,-0.8618490967056323,-0.8239757712916431,CA,0.076,1050.0,1050.0,2029283.0,2184716.0,124,0,0,0,2184840.0,1050.0,-7.633925593804786,False,D +3.3,-0.03280780808053951,Barbara Lee,Stephen Slauson
33,CA-13,4.747192174597896,5.9476165659830675,2.325221050901112,3.1388862839704887,2.5832753724250193,0.8043887037838123,66476.0,67041.0,133517.0,0.42,0.0,-0.13255567338282082,-0.11104606555704866,CA,0.076,2397220.0,2282884.0,2334494.0,2214801.0,1725983,6898611,447060,6327948,10268732.0,9628555.0,-0.09277352169630423,False,R +3.5,0.03493073808359583,Adam Gray,John Duarte
34,CA-14,4.865836224246394,4.570552476927939,2.919372671171777,5.3852594148383375,1.8329714003120283,1.5313497001855212,137491.0,60803.0,198294.0,-38.67,-1.0,-0.5005313496280552,-0.4643674718127554,CA,0.076,0.0,0.0,3693807.0,3460409.0,114,0,0,8,3460531.0,0.0,-8.439012605448093,False,R +5.4,0.05427437087920545,Eric Swalwell,Alison Hayden
35,CA-15,4.962472856560033,4.680749838545556,2.225204775348054,5.343425695189801,1.6570559820381048,1.4632605252914956,194803.0,0.0,194803.0,-100.0,0.0,-0.6239495798319328,-0.584525382147575,CA,0.076,0.0,0.0,0.0,0.0,717957,0,0,0,717957.0,0.0,-6.185781328664446,True,,,Kevin Mullin,None
36,CA-16,5.56332603951411,4.19850876710993,1.9135329273933999,5.046752117020161,1.5938051603457937,0.7839879480001896,240841.0,0.0,240841.0,-100.0,-1.0,-0.5829787234042553,-0.5420213705168198,CA,0.076,0.0,0.0,0.0,0.0,18,0,0,0,18.0,0.0,-0.002594516708452225,True,,,Anna Eshoo,None
37,CA-17,4.575719388202749,4.006425206693763,1.8830279165869381,5.8950768833535205,1.3848418587013547,0.8386702530104863,127780.0,52360.0,180140.0,-41.87,-1.0,-0.5715800636267232,-0.48377787464982447,CA,0.076,116485.0,116447.0,5775874.0,2639036.0,124,0,0,8,2639168.0,116447.0,-4.38893462268714,False,R +0.4,0.004391913833016459,Ro Khanna,Ritesh Tandon
38,CA-18,4.478928215673311,5.948575537386739,2.00094717599006,3.934575430146243,2.5651478248067168,0.76752196127119,99716.0,51715.0,151431.0,-31.7,-1.0,-0.5180467091295118,-0.4504665339162146,CA,0.076,250554.0,238557.0,1831372.0,2585104.0,124,0,0,0,2585228.0,238557.0,-3.3842126510932338,False,R +7.1,0.07147916957910494,Zoe Lofgren,Peter Hernandez
39,CA-19,5.719958074385701,4.522309127727878,2.085818451280759,4.4545517712328815,2.029078479400771,0.8747434120253494,193733.0,87924.0,281657.0,-37.57,-1.0,-0.42032085561497323,-0.40517679743020496,CA,0.076,56430.0,56336.0,2603647.0,1533030.0,70954,0,0,8,1603992.0,56336.0,-4.604697595907943,False,D +1.5,-0.014968098849011346,Jimmy Panetta,Jeff Gorman
40,CA-20,5.765350170159503,4.960097113640109,2.436399937845524,3.3225347431523473,2.44772898172653,0.5925052781821664,74807.0,153646.0,228453.0,34.51,1.0,0.32486772486772497,0.2543831947319788,CA,0.076,26488077.0,23770850.0,1045339.0,1022890.0,106,0,6435,116396,1139392.0,23777285.0,4.371247798857264,False,D +1.5,-0.01479548281338594,Marisa Wood,Kevin McCarthy
41,CA-21,4.469397144447368,5.947620242287703,2.7664336979483575,3.6163715524140043,2.407878872630749,0.45827959751048714,67924.0,57461.0,125385.0,-8.34,-1.0,-0.2304439746300211,-0.20737268983187707,CA,0.076,311289.0,308304.0,2019915.0,2011283.0,34784,0,0,0,2046067.0,308304.0,-2.6914100856843786,False,R +6.9,0.06932533768061891,Jim Costa,Michael Maher
42,CA-22,4.302264143410813,6.135887469497236,2.7651892614251157,2.601452087689376,2.3324651422069564,0.4441971680127468,49722.0,52849.0,102571.0,3.05,1.0,-0.17037037037037028,-0.13222321448018992,CA,0.076,3709096.0,3791361.0,2921464.0,2878207.0,3565028,11954802,2197583,7619529,14062764.0,17943746.0,0.3513791769295875,False,R +5.6,0.05632469569576854,Rudy Salas,David Valadao
