District,dem_supported,dem_opposed,gop_supported,gop_opposed
TN-03,0,0,0,0
TN-04,0,0,0,0
TN-05,98760,0,1367434,948925
TN-06,0,0,0,0
TN-07,147318,0,2162,0
TN-08,0,0,0,0
TN-09,18,0,0,8
TX-01,0,0,0,0
TX-02,0,0,54864,2568
TX-03,0,0,23566,0
TX-04,0,0,1005,0
TX-05,0,0,84,0
TX-06,0,0,773748,393038
TX-07,50,301,0,8
TX-08,0,0,1009884,78260
TX-09,24,0,0,0
TX-10,0,0,144935,7697
TX-11,0,0,986,0
TX-12,0,0,100,1497
TX-13,0,0,986,0
TX-14,0,0,785,0
TX-15,722353,2383354,0,0
TX-16,18,0,0,8
TX-17,0,0,3101,0
TX-18,0,0,0,0
TX-19,0,0,84,0
TX-20,29,0,2000,0
TX-21,0,0,76545,654
TX-22,0,0,71012,8
TX-23,0,0,1057779,8
TX-24,0,0,0,0
TX-25,0,0,84,8
TX-26,0,0,103,0
TX-27,0,0,1068,0
TX-28,2393739,8756142,1078116,8485494
TX-29,24,0,0,0
TX-30,2872192,25305,0,0
TX-31,0,0,405,0
TX-32,24,301,0,0
TX-33,24,0,0,0
TX-34,363372,6239144,1840872,5318173
TX-35,383036,17000,0,0
TX-36,0,0,986,500
TX-37,38642,0,0,0
TX-38,0,0,967132,8
UT-01,0,0,46567,0
UT-02,0,0,0,0
UT-03,0,0,192709,0
UT-04,0,0,181232,0
VA-01,1731,0,252,0
VA-02,1973337,6052301,2358185,3239658
VA-03,18,0,2500,0
VA-04,18,1132,40450,8
VA-05,0,0,19694,3304
VA-06,0,0,682,0
VA-07,4289714,9823122,1711401,9063741
VA-08,18,0,25051,0
VA-09,0,0,780,0
VA-10,36085,74901,99202,39496
VA-11,143333,0,0,0
VT-AL,1587784,0,0,0
WA-01,569,0,0,0
WA-02,569,0,0,0
WA-03,0,0,233262,3467080
WA-04,624,0,1075694,0
WA-05,624,0,0,0
WA-06,532,0,13881,8
WA-07,2702,0,0,0
WA-08,1260452,8170776,394164,7346778
WA-09,495,0,0,8
WA-10,487,0,0,0
WI-01,0,0,14478,0
WI-02,30,0,0,0
WI-03,37359,789568,0,0
WI-04,18,0,0,8
WI-05,0,0,336838,0
WI-06,0,0,1400,0
WI-07,0,0,1742,8
WI-08,0,0,154089,0
WV-01,0,0,1139,0
WV-02,0,0,815484,605872
WY-AL,0,0,1550734,452554
