District,rep_raise,rep_spend,dem_raise,dem_spend
IL-15,"$2,002,955 ","$1,773,491 ","$44,027 ","$43,116 "
IL-16,"$3,883,147 ","$2,863,498 ","$37,618 ","$37,618 "
IL-17,"$4,913,573 ","$4,718,018 ","$3,064,007 ","$2,960,151 "
IN-01,"$3,400,454 ","$3,305,882 ","$2,462,707 ","$2,480,614 "
IN-02,"$1,113,991 ","$783,601 ","$103,536 ","$92,955 "
IN-03,"$2,574,552 ","$1,621,524 ","$74,217 ","$73,224 "
IN-04,"$430,713 ","$280,434 ",,
IN-05,"$4,046,343 ","$2,484,890 ","$41,056 ","$40,198 "
IN-06,"$2,231,424 ","$2,277,354 ","$50,692 ","$30,466 "
IN-07,"$497,656 ","$493,628 ","$843,564 ","$1,060,510 "
IN-08,"$1,407,731 ","$1,105,861 ","$148,845 ","$126,354 "
IN-09,"$1,346,448 ","$918,299 ","$122,824 ","$117,103 "
KS-01,"$1,230,870 ","$379,238 ","$14,792 ","$14,413 "
KS-02,"$1,467,757 ","$1,163,446 ","$1,095,913 ","$1,093,331 "
KS-03,"$3,829,890 ","$3,845,592 ","$7,746,318 ","$8,138,769 "
KS-04,"$1,869,922 ","$1,710,795 ","$43,066 ","$30,605 "
KY-01,"$1,636,714 ","$943,759 ","$7,867 ","$7,867 "
KY-02,"$2,236,029 ","$2,138,747 ","$81,044 ","$77,492 "
KY-03,"$605,723 ","$604,271 ","$3,063,645 ","$2,774,234 "
KY-04,"$1,086,317 ","$936,274 ","$300,688 ","$295,682 "
KY-05,"$808,834 ","$880,091 ","$18,702 ","$19,103 "
KY-06,"$3,790,955 ","$2,028,103 ","$239,087 ","$239,087 "
LA-01,"$18,328,293 ","$19,798,278 ","$149,907 ","$148,179 "
LA-02,"$32,371 ","$36,052 ","$3,072,128 ","$3,020,918 "
LA-03,"$1,034,658 ","$1,054,243 ","$38,790 ","$36,984 "
LA-04,"$1,341,505 ","$1,090,167 ",,
LA-05,"$2,796,195 ","$1,957,234 ","$12,275 ","$10,432 "
LA-06,"$1,971,979 ","$1,357,973 ",,
MA-01,"$19,753 ","$19,167 ","$3,468,962 ","$2,308,225 "
MA-02,"$140,906 ","$135,093 ","$1,110,792 ","$951,262 "
MA-03,"$158,095 ","$153,325 ","$1,953,390 ","$1,346,700 "
MA-04,,,"$2,963,586 ","$1,008,469 "
MA-05,"$106,502 ","$104,977 ","$2,148,443 ","$2,234,727 "
MA-06,"$53,298 ","$39,759 ","$2,072,468 ","$1,525,151 "
MA-07,,,"$1,383,430 ","$1,538,521 "
MA-08,,,"$893,006 ","$800,328 "
MA-09,"$352,306 ","$333,442 ","$716,822 ","$1,215,489 "
MD-01,"$1,907,063 ","$2,125,027 ","$2,753,545 ","$2,697,646 "
MD-02,"$500,313 ","$499,787 ","$1,078,836 ","$1,313,109 "
MD-03,"$483,601 ","$474,071 ","$184,228 ","$728,908 "
MD-04,"$57,395 ","$56,069 ","$1,648,375 ","$1,504,287 "
MD-05,"$62,613 ","$63,678 ","$3,831,253 ","$3,976,368 "
MD-06,"$1,016,401 ","$1,101,721 ","$13,106,436 ","$10,060,317 "
MD-07,,,"$595,498 ","$293,821 "
MD-08,"$14,794 ","$16,755 ","$4,529,335 ","$2,706,302 "
ME-01,"$445,884 ","$421,421 ","$567,473 ","$601,494 "
ME-02,"$3,608,117 ","$3,496,931 ","$5,959,779 ","$6,006,941 "
MI-01,"$1,725,156 ","$1,805,210 ","$586,637 ","$540,490 "
MI-02,"$2,179,970 ","$2,256,214 ","$23,155 ","$23,155 "
MI-03,"$1,663,591 ","$1,639,435 ","$3,695,081 ","$3,657,092 "
MI-04,"$3,027,361 ","$3,188,978 ","$37,259 ","$35,359 "
MI-05,"$1,489,366 ","$1,161,028 ","$164,510 ","$161,422 "
MI-06,"$12,070 ","$11,777 ","$1,555,257 ","$1,559,436 "
MI-07,"$2,787,459 ","$2,765,615 ","$9,847,776 ","$11,233,702 "
MI-08,"$3,097,853 ","$3,006,394 ","$5,578,652 ","$6,330,008 "
MI-09,"$1,247,196 ","$379,028 ","$54,604 ","$45,203 "
MI-10,"$6,874,474 ","$5,880,496 ","$1,049,817 ","$1,019,807 "
MI-11,"$509,645 ","$498,608 ","$5,525,231 ","$5,588,800 "
MI-12,"$249,807 ","$243,855 ","$3,217,336 ","$3,312,399 "
MI-13,"$94,785 ","$104,534 ","$6,301,954 ","$6,031,135 "
MN-01,"$1,477,041 ","$1,474,945 ","$2,564,569 ","$2,499,732 "
MN-02,"$3,295,505 ","$3,194,432 ","$7,715,155 ","$8,631,675 "
MN-03,"$677,223 ","$664,226 ","$2,207,832 ","$2,150,072 "
MN-04,"$132,898 ","$132,802 ","$2,080,274 ","$1,957,877 "
MN-05,"$3,157,303 ","$3,118,431 ","$3,022,204 ","$3,037,836 "
MN-06,"$4,319,990 ","$4,107,949 ","$154,317 ","$155,749 "
MN-07,"$1,650,194 ","$1,672,903 ","$31,054 ","$27,945 "
MN-08,"$2,444,594 ","$1,938,517 ","$686,832 ","$631,906 "
MO-01,"$49,110 ","$35,266 ","$2,347,934 ","$2,422,849 "
MO-02,"$4,626,675 ","$3,198,644 ","$890,523 ","$890,523 "
MO-03,"$2,549,900 ","$2,934,039 ","$27,114 ","$13,109 "
MO-04,"$1,024,164 ","$934,386 ",,
MO-05,"$37,587 ","$36,387 ","$1,210,592 ","$1,163,764 "
MO-06,"$2,362,618 ","$1,819,198 ","$141,892 ","$135,956 "
MO-07,"$1,065,173 ","$853,761 ","$17,751 ","$18,243 "
MO-08,"$3,182,543 ","$4,093,429 ","$44,952 ","$34,614 "
MS-01,"$1,096,794 ","$942,740 ","$34,065 ","$26,815 "
MS-02,"$49,488 ","$49,928 ","$1,489,170 ","$1,243,266 "
MS-03,"$1,343,443 ","$1,567,469 ","$76,786 ","$76,413 "
MS-04,"$1,011,583 ","$1,010,572 ","$147,220 ","$146,395 "
MT-01,"$6,554,392 ","$6,343,353 ","$3,037,036 ","$3,037,036 "
MT-02,"$2,213,147 ","$1,200,692 ","$175,488 ","$175,463 "
NC-01,"$1,566,253 ","$1,563,233 ","$1,837,315 ","$1,809,158 "
NC-02,"$149,335 ","$135,188 ","$2,105,956 ","$2,039,803 "
NC-03,"$1,938,704 ","$1,375,789 ","$93,334 ","$92,079 "
NC-04,"$381,188 ","$372,936 ","$1,243,298 ","$1,073,705 "
NC-05,"$2,193,709 ","$1,924,088 ","$32,452 ","$23,355 "
NC-06,"$911,094 ","$889,576 ","$3,005,598 ","$3,045,649 "
NC-07,"$1,476,608 ","$1,270,176 ","$294,578 ","$210,077 "
NC-08,"$1,888,130 ","$683,611 ","$96,117 ","$97,412 "
NC-09,"$3,090,918 ","$1,798,421 ","$129,515 ","$121,121 "
NC-10,"$3,806,435 ","$3,362,350 ","$188,564 ","$175,541 "
NC-11,"$1,559,076 ","$1,446,553 ","$2,305,419 ","$2,278,071 "
NC-12,"$209,559 ","$208,612 ","$946,731 ","$734,159 "
NC-13,"$3,262,311 ","$3,255,518 ","$3,563,623 ","$3,573,199 "
NC-14,"$851,577 ","$776,003 ","$5,456,067 ","$5,331,241 "
ND-AL,"$2,061,023 ","$2,048,850 ","$172,945 ","$157,398 "
NE-01,"$2,151,055 ","$2,114,208 ","$1,752,081 ","$1,745,624 "
NE-02,"$3,842,003 ","$3,879,848 ","$3,400,066 ","$3,315,153 "
NE-03,"$1,686,458 ","$1,860,109 ",,
NH-01,"$3,662,628 ","$3,622,266 ","$5,092,939 ","$5,055,821 "
NH-02,"$321,646 ","$259,328 ","$4,410,214 ","$5,257,131 "
NJ-01,"$22,933 ","$77,831 ","$2,157,426 ","$3,506,896 "
NJ-02,"$3,049,391 ","$2,700,941 ","$501,303 ","$478,957 "
NJ-03,"$4,661,471 ","$4,598,422 ","$6,998,836 ","$7,316,852 "
NJ-04,"$1,463,427 ","$1,380,315 ","$42,545 ","$39,233 "
NJ-05,"$967,789 ","$957,917 ","$8,587,500 ","$3,628,349 "
NJ-06,"$296,177 ","$296,177 ","$3,117,894 ","$3,636,749 "
NJ-07,"$4,422,365 ","$4,374,668 ","$8,845,866 ","$8,871,022 "
NJ-08,,,"$1,725,341 ","$1,362,215 "
NJ-09,"$305,216 ","$289,588 ","$1,565,983 ","$1,534,228 "
NJ-10,,,"$1,344,279 ","$1,455,864 "
NJ-11,"$709,054 ","$678,369 ","$6,185,787 ","$8,549,576 "
NJ-12,"$265,383 ","$256,489 ","$918,998 ","$938,727 "
NM-01,"$288,232 ","$298,212 ","$3,503,087 ","$3,501,009 "
NM-02,"$4,351,819 ","$4,262,662 ","$3,634,994 ","$3,569,415 "
NM-03,"$299,306 ","$293,400 ","$3,091,967 ","$3,192,288 "
NV-01,"$1,229,775 ","$1,015,876 ","$3,360,346 ","$3,513,360 "
NV-02,"$1,173,961 ","$1,184,066 ","$51,183 ","$49,733 "
NV-03,"$2,417,703 ","$2,310,306 ","$6,253,861 ","$6,207,229 "
NV-04,"$1,954,207 ","$1,911,785 ","$4,921,600 ","$5,274,440 "
NY-01,"$1,482,303 ","$1,389,858 ","$2,650,023 ","$2,620,549 "
NY-02,"$3,440,029 ","$3,255,026 ","$1,745,788 ","$1,710,293 "
NY-03,"$2,953,457 ","$3,035,801 ","$3,148,912 ","$3,130,015 "
NY-04,"$1,270,888 ","$1,250,011 ","$1,727,560 ","$1,683,311 "
NY-05,"$124,116 ","$120,277 ","$2,698,435 ","$1,664,417 "
NY-06,"$2,405 ","$3,493 ","$1,589,414 ","$1,239,199 "
NY-07,,,"$598,300 ","$583,105 "
NY-08,"$19,970 ","$4,962 ","$5,833,024 ","$5,657,714 "
NY-09,,,"$751,963 ","$747,756 "
NY-10,"$24,988 ","$23,503 ","$7,089,472 ","$6,971,021 "
NY-11,"$4,576,680 ","$4,540,507 ","$3,991,053 ","$3,876,609 "
NY-12,"$19,177 ","$13,021 ","$2,226,105 ","$2,627,732 "
NY-13,,,"$1,274,441 ","$1,275,972 "
NY-14,"$1,469,737 ","$1,463,345 ","$12,058,185 ","$10,628,688 "
NY-15,,,"$4,315,170 ","$866,301 "
NY-16,"$17,023 ","$1,316 ","$1,832,189 ","$1,865,941 "
NY-17,"$1,520,102 ","$1,455,185 ","$5,875,716 ","$6,675,175 "
NY-18,"$2,031,206 ","$1,979,983 ","$4,676,595 ","$4,619,570 "
NY-19,"$2,464,216 ","$2,405,284 ","$4,167,938 ","$4,103,657 "
NY-20,"$1,161,290 ","$1,153,365 ","$1,772,683 ","$1,794,289 "
NY-21,"$9,304,020 ","$10,283,836 ","$2,509,843 ","$2,394,944 "
NY-22,"$913,582 ","$856,601 ","$3,011,202 ","$2,967,164 "
NY-23,"$752,502 ","$651,263 ","$322,530 ","$302,713 "
NY-24,"$3,212,844 ","$3,500,964 ","$157,404 ","$106,259 "
NY-25,"$688,325 ","$681,850 ","$2,226,700 ","$2,262,900 "
NY-26,"$35,189 ","$32,720 ","$1,529,335 ","$1,832,140 "
OH-01,"$2,230,635 ","$2,216,912 ","$2,731,279 ","$2,628,794 "
OH-02,"$2,066,627 ","$1,619,489 ","$22,925 ","$28,295 "
OH-03,,,"$2,227,007 ","$1,008,015 "
OH-04,"$13,753,510 ","$12,293,516 ","$168,937 ","$168,924 "
OH-05,"$1,555,253 ","$1,289,667 ","$54,771 ","$53,759 "
