District,Biden,Trump,Clinton,Trump16
NC-12,64.2,34.2,60.2,35.6
NC-13,50,48.3,46.6,49
NC-14,57.3,41,52.4,42.6
ND-AL,31.8,65.1,27.2,63
NE-01,43.3,54.3,37.6,55.9
NE-02,52.1,45.8,46.2,48.1
NE-03,23.1,74.9,20.6,74.2
NH-01,52.2,46.2,45.9,47.5
NH-02,53.6,44.7,47.8,45.4
NJ-01,61.5,37.1,60,36.7
NJ-02,46.8,51.9,44.8,51.9
NJ-03,56.4,42.3,53,43.5
NJ-04,38.1,60.6,34.5,62.4
NJ-05,55.6,43.2,52.2,44.5
NJ-06,59.2,39.5,57.9,38.9
NJ-07,51,47.4,45.2,50.8
NJ-08,71.8,27.1,75.7,21.5
NJ-09,59,40,60.7,36.7
NJ-10,80.9,18.3,81.7,16.3
NJ-11,57.8,41,53.8,43
NJ-12,66.5,32.2,64.1,32.7
NM-01,56,41.6,47.4,39.5
NM-02,51.9,46,47.6,41.5
NM-03,54.4,43.6,49.9,39.5
NV-01,53.2,44.7,52,42
NV-02,43.1,54.1,39.2,52.5
NV-03,52.4,45.7,50.5,43.8
NV-04,53.1,44.8,52.3,41.8
NY-01,49.4,49.2,44,51.9
NY-02,48.6,50.1,44.8,51.4
NY-03,53.4,45.3,50.8,45.7
NY-04,56.6,42.1,54.3,42.2
NY-05,80.8,18.4,83.6,14.4
NY-06,64.5,34.3,68.7,28.1
NY-07,80.5,18.2,84.6,11.9
NY-08,76,23,79.1,18.6
NY-09,75.3,23.8,78.3,19
NY-10,84.8,13.8,85.3,10.8
NY-11,45.6,53.2,44.4,52.3
NY-12,84.8,13.7,83.1,12.8
NY-13,87.9,11,92,5.3
NY-14,77.7,21.3,81.9,15.4
NY-15,84.5,14.7,89.8,8.1
NY-16,71.3,27.7,69.7,26.7
NY-17,54.4,44.3,52,43.9
NY-18,53.3,45,47.9,47
NY-19,51.2,46.6,45.8,47.5
NY-20,58.4,39.3,52.4,40.6
NY-21,42.8,55.1,38.6,54.3
NY-22,52.6,45.2,47.9,45.8
NY-23,40.4,57.6,35.1,59.2
NY-24,40.2,57.4,35.8,57.2
NY-25,58.6,38.9,53.6,39.9
NY-26,60.8,37.4,55.5,39.7
OH-01,53.5,45,49.7,45.7
OH-02,26.6,72,26.3,69.7
OH-03,71.1,27.4,66.9,28.5
OH-04,31.4,67.1,28.9,66.4
OH-05,35.8,62.6,34.9,59.9
OH-06,35,63.7,35.7,60.3
OH-07,44.8,54,42.1,53.6
OH-08,38.3,60.3,34.9,60.9
OH-09,47.7,50.6,46.8,47.7
OH-10,47.4,50.9,44.6,50.7
OH-11,78.3,20.7,78.9,18.3
OH-12,33.8,64.7,33,62.3
OH-13,50.7,47.9,48.9,46.8
OH-14,41.9,56.8,41,54.6
OH-15,45.8,52.6,42.4,52.8
OK-01,38.1,59.4,33.2,60.9
OK-02,22.4,75.8,22.9,72.7
OK-03,27.5,70.3,24.7,69.7
OK-04,33.3,64.2,29.3,64.7
OK-05,39.5,57.9,34.2,58.9
OR-01,67.9,28.8,60.7,28.1
OR-02,36.4,60.7,31.8,59
OR-03,72,25,66.6,23.4
OR-04,54.7,42,48.5,40.5
OR-05,52.8,44,45.9,43
OR-06,54.8,41.7,47.4,40.4
PA-01,51.8,47.2,48.5,47.8
PA-02,71,28.3,73.5,24.3
PA-03,90.1,9.2,89.9,8
PA-04,58.9,40,55,41.1
PA-05,65.7,33.4,63,34
PA-06,56.8,42,52.4,43.5
PA-07,49.7,49.1,46.7,49.5
PA-08,48,50.9,44.4,52.5
PA-09,31,67.5,28.2,67.8
PA-10,47.2,51.3,42.9,52.8
PA-11,38.6,59.9,34.9,60.3
PA-12,59.4,39.5,57.1,39.6
PA-13,26.8,72,25.2,71.4
PA-14,33.7,65.2,32.4,64.4
PA-15,30.8,67.8,29.8,66.2
PA-16,39,59.7,36.9,59
PA-17,52.3,46.5,48.7,47.6
RI-01,63.5,34.5,59.2,34.4
RI-02,55.8,42.2,50.2,42.9
SC-01,44.8,53.5,39.8,54.5
SC-02,43.9,54.5,38.9,56.1
SC-03,30.6,68,29.1,66.9
SC-04,39.8,58.4,35.4,59.2
SC-05,40.2,58.4,37.9,58.2
SC-06,65.3,33.2,63.9,32.3
SC-07,40.2,58.8,39.1,58
SD-AL,35.6,61.8,31.7,61.5
TN-01,22,76.3,19.6,76.4
TN-02,34.4,63.7,29.5,64.7
