District,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander
NY-20,"624,229","471,438","33,689","65,160","39,293","11,810","1,013"
NY-21,"621,708","547,742","22,207","20,894","8,860","16,781",857
NY-22,"615,360","487,023","28,704","60,396","26,419","12,155",720
NY-23,"617,991","554,069","19,022","18,780","8,916","13,181",526
NY-24,"618,176","548,508","21,988","23,635","7,039","12,659",692
NY-25,"619,082","437,992","49,058","95,928","30,135","9,203",761
NY-26,"620,037","426,385","36,777","112,591","36,441","10,756",648
OH-01,"607,689","426,780","20,146","119,428","30,316","9,794",882
OH-02,"609,599","563,480","7,306","16,482","4,989","13,866",414
OH-03,"615,714","366,086","32,826","167,620","40,244","10,657",899
OH-04,"600,351","521,413","12,273","33,875","19,006","10,820",583
OH-05,"612,230","526,766","36,852","28,818","7,626","11,163",889
OH-06,"628,719","549,311","16,196","43,669","4,670","12,079",486
OH-07,"623,729","549,219","19,013","22,359","21,081","8,732",514
OH-08,"603,741","467,544","23,849","78,013","21,079","12,012",904
OH-09,"613,653","476,818","36,058","77,478","10,574","12,032",461
OH-10,"616,057","452,896","19,283","110,485","19,231","13,358",956
OH-11,"622,351","277,075","42,831","275,960","22,634","9,260",790
OH-12,"603,837","540,698","9,576","27,168","11,099","12,257",520
OH-13,"621,319","489,034","13,399","82,952","21,244","11,955",522
OH-14,"629,265","552,503","15,888","35,741","9,437","11,152",499
OH-15,"599,308","459,269","30,532","68,936","27,894","12,441",753
OK-01,"597,950","372,186","68,384","61,502","22,946","78,222","1,352"
OK-02,"609,272","398,595","26,431","25,892","6,194","154,864","1,109"
OK-03,"594,875","385,075","100,974","37,103","12,279","63,107","3,082"
OK-04,"605,586","411,298","50,555","55,508","20,758","70,078","2,151"
OK-05,"603,015","396,700","49,277","78,904","25,158","56,921","1,297"
OR-01,"565,011","389,985","71,727","17,100","65,067","18,199","4,655"
OR-02,"558,745","440,143","66,105","6,633","10,567","30,130","3,214"
OR-03,"562,802","382,318","67,601","37,804","52,847","20,395","5,913"
OR-04,"581,229","472,942","42,694","9,405","23,617","26,796","3,447"
OR-05,"557,469","454,237","46,428","8,538","23,974","18,687","3,156"
OR-06,"545,396","386,650","94,839","10,975","27,713","22,524","6,134"
PA-01,"608,853","500,797","30,349","27,591","40,786","6,696",543
PA-02,"592,591","244,883","131,308","155,484","62,737","8,472","1,365"
PA-03,"629,365","222,395","33,629","320,864","51,368","8,588",981
PA-04,"605,135","475,478","29,137","54,378","38,962","6,222",512
PA-05,"594,459","365,957","31,662","146,654","45,182","6,847",686
PA-06,"588,040","427,673","82,272","43,258","30,945","8,698",796
PA-07,"606,167","440,493","98,047","44,286","21,716","8,444",729
PA-08,"615,677","481,366","67,114","47,272","15,070","8,678",753
PA-09,"610,368","545,984","28,370","18,578","7,211","8,339",616
PA-10,"600,698","448,938","47,283","68,934","29,488","8,761",797
PA-11,"591,963","498,270","45,997","26,950","14,813","7,710",563
PA-12,"629,692","477,362","15,269","95,178","32,534","7,609",570
PA-13,"608,305","555,296","17,552","18,063","5,797","8,796",469
PA-14,"624,593","572,257","8,304","24,619","5,495","8,276",500
PA-15,"621,955","564,442","12,831","16,172","15,457","8,613",663
PA-16,"610,144","543,898","12,768","29,501","9,923","8,764",430
PA-17,"615,543","518,521","12,366","51,282","22,206","7,621",492
RI-01,"440,812","299,123","70,297","44,874","19,920","8,011",961
RI-02,"446,782","343,312","55,691","25,492","17,026","8,636",694
SC-01,"570,538","405,889","38,918","99,209","14,413","10,965","1,048"
SC-02,"563,028","360,714","33,556","142,949","15,340","12,326","1,039"
SC-03,"577,297","427,484","27,422","101,520","8,411","11,995",575
SC-04,"565,412","379,099","50,888","107,592","17,341","11,342",780
SC-05,"562,685","374,151","25,482","138,774","12,693","11,840",681
SC-06,"586,760","261,421","31,196","275,133","12,439","9,509","1,030"
SC-07,"588,740","395,217","23,662","149,479","8,195","11,752",693
SD-AL,"669,255","556,081","23,855","14,956","12,406","60,618","1,033"
TN-01,"616,550","552,337","23,185","16,903","6,671","15,172",685
TN-02,"609,503","513,806","26,468","38,404","13,658","15,340",677
TN-03,"607,013","485,954","28,002","63,672","11,359","17,033",692
